Transcript,Predicted Outcome,Actual Outcome,Misclassified
transcript_105.txt,Follow-up Action Needed,Issue Resolved,True
transcript_139.txt,Follow-up Action Needed,Issue Resolved,True
transcript_15.txt,Follow-up Action Needed,Issue Resolved,True
transcript_115.txt,Follow-up Action Needed,Issue Resolved,True
transcript_9.txt,Issue Resolved,Follow-up Action Needed,True
transcript_14.txt,Follow-up Action Needed,Issue Resolved,True
transcript_98.txt,Follow-up Action Needed,Issue Resolved,True
transcript_73.txt,Follow-up Action Needed,Issue Resolved,True
transcript_167.txt,Follow-up Action Needed,Issue Resolved,True
transcript_173.txt,Issue Resolved,Follow-up Action Needed,True
transcript_172.txt,Follow-up Action Needed,Issue Resolved,True
transcript_199.txt,Follow-up Action Needed,Issue Resolved,True
transcript_66.txt,Follow-up Action Needed,Issue Resolved,True
transcript_64.txt,Follow-up Action Needed,Issue Resolved,True
transcript_65.txt,Follow-up Action Needed,Issue Resolved,True
transcript_75.txt,Follow-up Action Needed,Issue Resolved,True
transcript_161.txt,Follow-up Action Needed,Issue Resolved,True
transcript_160.txt,Follow-up Action Needed,Issue Resolved,True
transcript_48.txt,Follow-up Action Needed,Issue Resolved,True
transcript_176.txt,Follow-up Action Needed,Issue Resolved,True
transcript_163.txt,Follow-up Action Needed,Issue Resolved,True
transcript_77.txt,Follow-up Action Needed,Issue Resolved,True
transcript_63.txt,Follow-up Action Needed,Issue Resolved,True
transcript_85.txt,Follow-up Action Needed,Issue Resolved,True
transcript_185.txt,Follow-up Action Needed,Issue Resolved,True
transcript_146.txt,Follow-up Action Needed,Issue Resolved,True
transcript_152.txt,Follow-up Action Needed,Issue Resolved,True
transcript_147.txt,Follow-up Action Needed,Issue Resolved,True
transcript_190.txt,Issue Resolved,Follow-up Action Needed,True
transcript_92.txt,Follow-up Action Needed,Issue Resolved,True
transcript_86.txt,Follow-up Action Needed,Issue Resolved,True
transcript_45.txt,Follow-up Action Needed,Issue Resolved,True
transcript_151.txt,Follow-up Action Needed,Issue Resolved,True
transcript_144.txt,Follow-up Action Needed,Issue Resolved,True
transcript_44.txt,Follow-up Action Needed,Issue Resolved,True
transcript_97.txt,Follow-up Action Needed,Issue Resolved,True
transcript_54.txt,Follow-up Action Needed,Issue Resolved,True
transcript_155.txt,Follow-up Action Needed,Issue Resolved,True
transcript_196.txt,Follow-up Action Needed,Issue Resolved,True
transcript_43.txt,Follow-up Action Needed,Issue Resolved,True
transcript_157.txt,Follow-up Action Needed,Issue Resolved,True
transcript_195.txt,Follow-up Action Needed,Issue Resolved,True
transcript_42.txt,Follow-up Action Needed,Issue Resolved,True
transcript_81.txt,Issue Resolved,Follow-up Action Needed,True
transcript_19.txt,Follow-up Action Needed,Issue Resolved,True
transcript_31.txt,Follow-up Action Needed,Issue Resolved,True
transcript_119.txt,Follow-up Action Needed,Issue Resolved,True
transcript_125.txt,Follow-up Action Needed,Issue Resolved,True
transcript_130.txt,Follow-up Action Needed,Issue Resolved,True
transcript_118.txt,Follow-up Action Needed,Issue Resolved,True
transcript_30.txt,Follow-up Action Needed,Issue Resolved,True
transcript_7.txt,Follow-up Action Needed,Issue Resolved,True
transcript_126.txt,Follow-up Action Needed,Issue Resolved,True
transcript_127.txt,Follow-up Action Needed,Issue Resolved,True
transcript_6.txt,Follow-up Action Needed,Issue Resolved,True
transcript_37.txt,Follow-up Action Needed,Issue Resolved,True
transcript_2.txt,Follow-up Action Needed,Issue Resolved,True
transcript_20.txt,Follow-up Action Needed,Issue Resolved,True
transcript_1.txt,Follow-up Action Needed,Issue Resolved,True
transcript_134.txt,Follow-up Action Needed,Issue Resolved,True
transcript_109.txt,Follow-up Action Needed,Issue Resolved,True
transcript_121.txt,Follow-up Action Needed,Issue Resolved,True
